Name,Team,Minutes,Primary Position,Secondary Position,Nationality,Age,Height,All Goals,NP Goals,xG,xG/Shot,Shots,Goal Conversion%,Shooting%,Shot Touch%,Penalty Conversion%,PSxG,Assists,xG Assisted,Key Passes,OP Assists,OP xG Assisted,OP Key Passes,SP Assists,SP xG Assisted,SP Key Passes,Scoring Contribution,xG & xG Assisted,Shots & Key Passes,O/U Performance,Dribbles,Successful Dribbles,Failed Dribbles,Dribble%,Fouls Won,Penalty Wins,Dispossessed,Turnovers,Interceptions,PAdj Interceptions,Clearances,PAdj Clearances,Defensive Actions,Aggressive Actions,Blocks/Shot,Defensive Regains,Average DA X,Ball Recov. F2,Ball Recoveries,Tackles,Tack&Int,Tack/DP%,PAdj Tackles,PAdj Tack&Int,Fouls,Dribbles Stopped%,Dribbled Past,Aerial Win%,Aerial Wins,Errors,Pressures,PAdj Pressures,Pressure Regains,Counterpressures,Counterpress Regains,Average Pressure X,Pressures F2,Pressures F2%,Counterpressures F2,Counterpressures F2%,Yellow Cards,2nd Yellows,Red Cards,OP Passes,Passing%,Long Balls,L/R Footedness%,Long Ball%,Pr. Long Balls,UPr. Long Balls,Passes Pressured%,Pr. Pass%,Pr. Pass% Dif.,Average Pass X,Deep Progressions,xGBuildup,xGChain,Carries,Carry%,Carry Length,OP F3 Passes,PintoB,OP Passes Into Box,SP PintoB,Passes Inside Box,Touches In Box,PinTin,Throughballs,Successful Box Cross%,Successful Crosses,Crossing%,Deep Completions,Pass Forward%,Pass Sideways%,Pass Backward%,F3 Pass Forward%,F3 Pass Sideways%,F3 Pass Backward%,Pass Length,Pr. Pass Length,Pass Length Ratio,Pr. Pass Length%,Pr. Pass Length Dif.,Succ. Pass Length,Succ.Pr. Pass Length
Dillon Morse,South Shields,1486,Right Centre Back,Left Centre Back,England,31.0,178.0,67,69,65,99,15,99,99,81,0,77,0,33,23,0,35,24,0,0,0,50,51,14,45,0,0,0,0,34,0,87,90,27,48,86,98,14,18,79,68,15,12,81,34,26,95,70,57,81,85,88,60,62,100,15,45,67,28,96,13,17,17,17,6,27,100,100,99,97,82,45,78,86,77,39,94,49,20,67,98,96,99,94,79,33,34,37,0,0,30,27,76,100,0,0,23,51,88,22,80,28,17,63,71,63,54,64,68,75
Dillon Senan De Silva,Dagenham & Redbridge,378,Right Wing Back,Right Back,Sri Lanka,24.0,176.0,0,0,16,1,44,0,55,56,0,27,0,89,86,0,93,93,0,0,0,0,60,61,3,72,40,90,2,66,0,16,25,54,61,51,56,58,30,0,83,74,73,67,36,40,95,26,40,26,70,89,60,77,100,58,63,98,62,99,81,77,84,73,81,28,100,100,28,0,29,28,2,64,45,91,2,56,93,49,44,59,23,28,88,47,94,95,89,67,65,73,92,12,99,83,54,62,44,42,57,44,51,67,59,96,36,22,80,54
Dion Kelly-Evans,Chester,1816,Right Back,Left Back,England,29.0,177.0,46,48,50,80,32,64,50,48,0,31,0,31,44,0,30,38,0,72,80,30,38,36,29,10,13,0,100,37,0,63,89,38,42,76,80,44,43,85,92,30,43,74,89,65,96,86,66,68,87,76,50,68,100,39,37,97,69,99,25,29,25,47,23,52,100,100,43,29,60,50,38,74,69,24,21,28,48,70,39,31,25,77,3,52,68,70,72,54,41,48,0,16,72,78,49,82,10,57,68,19,70,65,51,18,51,14,56,51
Djavan Pedro,Southport,490,Centre Forward,Right Centre Forward,England,23.0,182.0,77,79,94,83,92,50,66,3,0,95,88,60,53,90,66,59,0,0,0,84,90,84,26,43,45,45,52,13,0,34,21,11,12,10,12,90,58,0,53,99,60,13,24,15,95,16,12,3,70,90,48,88,100,91,77,93,93,99,99,99,98,95,74,8,100,100,7,1,1,65,44,2,0,95,3,51,96,20,70,84,2,11,90,31,45,51,0,59,95,94,0,100,48,100,47,29,27,91,16,28,98,1,4,99,99,74,10,53
Dom Tear,Scarborough Athletic,2736,Centre Attacking Midfielder,Left Centre Midfielder,England,26.0,180.0,75,77,85,96,64,75,46,23,0,76,0,22,28,0,23,30,0,0,0,60,71,49,14,47,45,51,37,56,86,12,36,33,29,52,54,70,58,41,80,68,97,84,34,29,33,32,27,46,12,48,23,70,100,75,65,95,95,99,68,71,66,93,55,47,100,100,22,19,16,70,46,45,15,89,27,55,62,23,44,44,13,24,59,36,30,33,0,56,72,65,58,44,30,14,69,43,29,81,22,64,78,14,12,90,93,48,18,24
Dominic Bernard,Weston-super-Mare AFC,687,Right Back,Left Back,Republic of Ireland,29.0,180.0,0,0,0,0,0,0,0,100,0,0,0,33,39,0,35,43,0,0,0,0,13,16,34,34,34,37,52,34,0,49,67,36,25,42,37,37,33,61,84,50,68,85,48,37,65,53,34,78,81,60,78,55,100,41,38,95,67,97,47,43,52,77,80,6,100,100,45,51,27,42,32,37,30,58,36,28,43,53,13,13,27,66,11,48,17,19,0,70,45,34,0,0,41,61,85,72,20,54,54,16,92,32,21,37,94,22,28,36
Dominic Odusanya,Chelmsford City,1873,Left Defensive Midfielder,Centre Defensive Midfielder,England,27.0,169.0,46,47,49,80,31,64,50,69,0,41,0,35,26,0,37,27,0,0,0,29,39,25,27,23,27,22,81,28,0,85,72,26,26,63,63,25,19,76,40,42,95,91,32,25,75,42,30,67,52,77,80,79,100,27,34,64,60,99,46,34,48,53,42,39,100,100,52,22,69,68,32,70,77,83,42,76,45,71,16,25,22,76,14,49,47,43,68,41,36,34,51,100,0,0,41,77,28,33,62,69,22,82,75,14,49,20,76,79
Dominic Poleon,Farnborough,2078,Centre Forward,Left Centre Forward,St. Lucia,32.0,190.0,93,93,96,95,85,84,88,2,99,96,65,42,53,69,45,59,0,0,0,89,91,76,61,55,56,55,47,17,0,16,29,10,11,16,15,37,17,0,21,98,32,2,12,10,92,10,9,76,0,92,11,23,18,46,38,60,77,99,98,85,97,91,96,86,100,100,1,40,0,21,0,3,0,84,31,33,96,6,48,79,5,19,81,31,33,36,0,64,88,84,0,65,41,33,87,1,28,99,2,42,98,2,11,74,96,85,2,27
Dominic Revan,Salisbury,3051,Right Centre Back,Right Back,England,25.0,192.0,39,41,14,33,12,84,55,85,0,27,0,29,21,0,31,22,0,0,0,25,15,11,49,26,21,34,19,20,0,69,75,38,48,80,84,38,29,88,90,24,21,88,62,45,96,75,60,92,72,84,44,57,100,42,54,97,48,99,21,30,26,33,18,63,100,100,57,53,42,70,22,82,46,46,26,16,26,41,11,9,44,79,85,29,30,30,48,24,21,17,0,19,44,28,18,71,39,32,57,51,45,66,81,25,14,88,61,74
Dominic Samuel,Ebbsfleet United,1845,Centre Forward,Right Centre Forward,England,32.0,182.0,99,99,99,93,97,92,86,1,99,99,0,29,32,0,31,34,0,0,0,97,96,87,88,19,17,27,29,57,0,25,45,14,17,34,45,20,10,70,8,95,44,6,8,8,26,8,10,72,46,90,24,68,100,27,43,28,32,79,98,69,98,48,94,70,100,100,8,40,6,44,67,27,2,97,54,67,91,8,73,90,8,34,70,48,44,50,0,53,93,91,0,53,36,61,65,10,66,86,4,84,87,12,29,97,87,83,19,40
Donovan Wilson,Dagenham & Redbridge,1112,Centre Forward,Right Centre Forward,England,29.0,180.0,74,76,72,49,75,61,55,5,0,89,0,18,23,0,19,24,0,0,0,59,53,57,66,42,51,35,77,40,0,13,14,10,9,15,14,70,29,27,20,99,16,0,33,18,98,29,16,12,32,91,4,41,100,70,54,61,60,99,97,95,97,70,79,100,100,100,1,2,0,82,0,7,1,99,14,87,87,11,17,28,8,3,39,23,31,35,0,68,87,83,85,100,45,81,76,44,87,29,42,59,59,6,18,39,15,83,2,5
Dylan Allen-Hadley,AFC Telford United,1341,Left Wing,Centre Forward,England,23.0,,98,99,96,95,85,97,96,8,0,98,90,80,66,92,85,74,0,0,0,99,95,80,99,78,87,61,77,57,0,1,19,27,39,6,7,43,38,0,21,97,19,1,12,16,12,14,21,42,4,64,18,31,100,49,46,54,74,92,95,81,92,83,82,80,100,100,11,42,9,66,80,0,8,78,26,23,77,39,72,88,31,20,99,42,23,25,0,95,95,93,0,28,57,43,94,11,15,99,7,37,98,14,3,97,97,21,23,13
Dylan Cogill,Worksop Town FC,935,Left Centre Back,Left Back,England,28.0,191.0,0,0,68,78,55,0,78,41,0,64,0,0,0,0,0,0,0,0,0,0,46,32,8,0,0,0,0,6,0,100,87,63,53,97,89,19,19,73,39,15,14,62,48,53,73,45,45,67,78,67,70,85,100,18,15,19,17,34,11,16,15,25,51,7,100,100,20,13,52,79,20,97,61,75,28,71,18,27,14,15,2,88,21,16,22,24,0,61,64,56,0,100,0,0,48,92,9,17,90,9,23,91,86,6,81,14,83,91
Dylan Dwyer,Southport,1167,Left Back,Centre Attacking Midfielder,England,22.0,181.0,55,57,17,3,34,78,98,58,0,48,0,36,45,0,37,44,0,68,72,38,21,38,70,23,28,20,86,33,0,66,79,56,62,75,78,34,43,80,70,26,71,96,60,54,65,66,62,54,36,51,77,58,100,33,37,80,23,92,24,28,27,25,26,14,2,100,80,12,50,86,1,83,86,45,21,60,37,90,17,13,58,80,34,65,67,66,74,0,0,15,0,20,67,14,27,90,5,49,81,11,63,72,79,6,7,71,47,61
Dylan Mitchell,Leamington FC,838,Right Defensive Midfielder,Right Centre Midfielder,England,20.0,171.0,0,0,17,18,20,0,0,73,0,0,0,46,54,0,29,36,0,88,87,0,29,35,18,37,44,33,75,32,0,31,68,58,40,53,42,79,84,70,97,42,99,99,85,72,65,57,44,46,16,31,27,53,100,78,54,99,97,100,40,48,34,72,17,67,100,100,58,14,52,11,15,55,70,44,47,90,35,40,9,7,28,76,53,31,65,50,82,44,13,17,0,100,0,0,51,64,22,65,62,55,35,70,55,15,68,11,61,61
Dylan Morgan,Torquay United,1237,Left Wing,Right Wing,England,23.0,175.0,95,96,78,42,90,87,67,16,0,85,0,65,80,0,68,86,0,72,71,89,73,89,96,89,93,79,68,35,0,11,26,12,15,41,53,70,55,71,75,77,85,48,41,22,66,64,35,58,74,66,10,31,100,76,93,94,90,99,78,81,76,92,70,53,100,100,45,16,26,47,8,48,34,77,22,50,99,60,62,64,63,36,94,94,86,95,58,93,88,93,61,37,81,19,98,44,16,91,31,22,96,40,45,11,5,46,23,13
Dylan Mottley-Henry,Chester,2253,Right Centre Forward,Left Centre Forward,England,28.0,178.0,86,88,87,83,79,81,79,14,0,93,75,75,60,79,80,64,0,64,64,87,85,72,77,40,18,65,1,73,98,15,26,25,28,45,47,28,10,58,46,87,50,16,13,16,70,16,19,64,6,89,52,96,100,34,37,80,62,99,92,68,90,75,86,62,100,100,14,2,6,32,10,37,9,96,4,45,83,10,69,78,7,20,74,33,31,34,0,87,87,83,47,4,58,35,78,47,18,88,9,22,99,10,11,41,48,60,6,9
Dylan Stephenson,Dagenham & Redbridge,1824,Right Centre Forward,Left Centre Forward,England,23.0,187.0,88,90,94,80,94,66,66,3,0,94,51,80,63,54,84,67,0,68,66,82,94,89,7,29,31,31,59,29,0,28,32,12,15,14,12,90,72,21,75,98,51,14,31,19,72,28,19,59,73,76,10,67,100,94,85,96,93,98,96,99,96,97,84,85,100,100,8,13,3,40,14,4,6,94,27,68,89,14,49,81,8,26,67,41,42,47,0,83,94,93,51,50,55,58,89,6,39,97,3,37,99,5,5,64,95,59,4,15
E.Simon,Tonbridge Angels FC,1027,Centre Forward,Right Centre Forward,England,29.0,,95,96,93,86,89,89,89,2,0,93,0,31,45,0,33,50,0,0,0,89,85,78,86,22,19,30,29,34,0,40,33,13,17,31,36,51,25,65,42,94,41,12,9,9,10,9,10,67,0,77,10,34,100,62,66,80,76,99,96,89,93,86,84,44,100,100,6,56,7,14,71,14,6,89,75,77,69,14,18,52,7,30,62,30,27,30,0,38,88,84,66,100,34,61,73,3,13,99,10,60,91,5,16,99,99,83,11,44
Ed Palmer,Torquay United,1012,Right Centre Back,Right Back,England,34.0,186.0,76,78,67,87,48,93,84,45,0,77,87,73,51,90,79,57,0,0,0,83,67,47,92,26,19,37,10,20,0,83,80,56,65,93,97,20,22,83,85,28,52,98,23,34,86,36,48,66,70,87,85,96,100,22,39,87,18,96,23,22,21,19,17,2,100,100,81,16,80,41,26,95,88,56,10,23,24,71,73,78,45,84,91,49,69,73,71,96,74,74,0,71,47,41,93,87,15,26,42,51,65,83,78,13,6,23,75,55
Eddie Panter,Bedford Town,551,Right Wing,Left Midfielder,England,,,0,0,52,37,55,0,0,35,0,0,85,99,48,88,99,53,0,0,0,60,86,50,2,45,41,53,29,97,0,15,29,22,10,35,16,83,51,45,74,85,54,14,78,46,99,33,18,35,97,91,4,18,100,83,32,98,97,99,81,89,81,96,64,47,100,100,6,1,3,41,0,22,14,92,15,92,93,16,46,73,11,17,97,33,66,77,0,89,79,80,0,28,84,27,64,30,28,90,48,17,94,15,1,47,96,13,11,7
Eduino Vaz,Hampton & Richmond,723,Left Wing Back,Left Wing,Guinea-Bissau,22.0,190.0,0,0,51,18,67,0,41,30,0,38,94,85,62,96,90,69,0,0,0,72,65,63,75,81,69,89,12,85,0,10,29,69,80,50,46,64,58,39,94,41,93,95,78,73,63,84,84,56,57,36,46,60,100,63,66,97,96,100,38,49,46,82,27,25,100,100,50,8,36,78,5,55,56,41,3,11,67,69,42,34,45,33,84,71,79,88,65,90,58,63,77,22,95,48,84,74,16,59,47,28,83,62,66,9,0,51,41,2
Eliott Whitehouse,Peterborough Sports FC,2094,Centre Defensive Midfielder,Right Defensive Midfielder,England,32.0,180.0,58,45,42,29,49,42,26,45,99,50,65,43,39,68,47,42,0,0,0,52,39,43,73,14,19,0,100,60,0,57,90,37,41,78,82,46,41,89,89,41,97,96,77,54,81,78,59,25,56,55,62,76,100,40,47,93,78,99,44,39,44,49,19,7,100,100,59,52,66,70,68,78,59,62,56,54,37,65,60,53,24,90,4,44,43,42,60,27,26,26,0,28,46,93,29,62,38,47,56,72,27,68,66,66,75,34,73,74
Elliot Forbes,Darlington,2082,Left Centre Back,Right Centre Back,England,27.0,194.0,44,46,38,39,39,50,14,44,0,39,0,29,34,0,30,37,0,0,0,28,28,34,39,41,51,33,81,26,0,73,70,31,34,87,87,21,19,81,84,22,52,99,41,31,90,46,35,91,88,83,84,92,100,25,31,85,43,99,20,24,24,28,14,59,100,100,52,21,69,20,26,92,75,81,40,75,25,65,58,43,28,78,95,28,38,39,51,70,51,46,49,69,34,93,72,92,8,21,79,28,23,86,86,17,27,55,82,86
Elliot Osborne,Macclesfield Town,648,Centre Defensive Midfielder,Right Defensive Midfielder,England,30.0,183.0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,30,26,38,29,21,0,59,70,45,59,65,72,64,69,75,96,31,97,98,71,54,22,88,76,48,18,9,80,65,100,63,82,99,91,99,28,35,25,40,7,100,100,100,71,44,77,41,50,70,78,64,60,71,56,97,78,59,37,74,41,91,90,77,93,52,15,32,0,100,0,0,40,84,19,30,77,34,21,72,45,21,51,4,66,43
Ellis Brown,Bedford Town,1665,Left Wing,Left Midfielder,England,24.0,169.0,86,88,73,46,80,78,81,12,0,84,72,82,68,76,80,57,0,86,85,85,75,76,89,72,76,66,57,90,0,3,25,34,24,18,15,73,47,0,84,80,77,46,49,36,94,33,25,33,57,84,11,22,100,75,38,97,76,99,80,83,79,84,80,13,100,100,11,10,28,65,21,19,34,80,25,73,94,44,38,51,25,23,99,48,77,72,82,56,62,62,0,21,75,28,76,38,37,80,36,25,92,47,33,18,43,18,35,28
Ellis Stanton,Darlington,1132,Right Defensive Midfielder,Centre Attacking Midfielder,England,21.0,,0,0,55,46,54,0,55,43,0,44,99,95,93,99,96,97,95,80,80,97,76,74,99,33,40,28,81,52,0,38,65,44,42,53,55,86,77,79,95,70,98,80,76,57,85,73,55,42,42,62,29,54,100,86,84,99,93,99,73,87,75,91,57,28,100,100,37,39,31,58,24,47,38,77,92,98,71,70,67,74,23,68,44,84,86,86,84,89,67,69,92,69,62,85,84,43,60,55,32,80,52,43,29,47,64,18,43,31
Emeka Obi,Kidderminster Harriers,2574,Right Centre Back,Centre Back,Nigeria,24.0,196.0,63,65,71,96,44,81,78,60,0,72,0,26,21,0,27,22,0,0,0,46,55,30,27,17,16,23,44,39,87,68,79,70,59,94,98,23,23,99,94,22,55,99,54,62,96,70,62,70,88,87,98,95,2,23,35,97,37,99,23,25,27,27,15,35,6,100,73,46,52,17,36,94,55,54,17,10,23,43,44,46,37,75,54,27,40,42,49,63,61,56,45,72,25,41,55,83,27,23,82,18,34,70,67,45,64,33,71,74
Emlyn Lewis,Weston-super-Mare AFC,2661,Right Centre Back,Centre Back,Wales,29.0,175.0,52,54,57,82,39,69,30,66,0,40,45,32,25,48,34,24,0,59,62,45,44,29,49,15,13,22,29,43,0,69,87,58,48,95,93,18,19,98,90,10,28,98,52,51,96,47,43,87,74,87,91,90,100,18,17,89,25,97,9,13,10,15,5,28,100,100,53,9,70,53,16,96,84,63,10,34,21,45,68,59,18,77,88,21,18,20,0,51,55,44,0,100,31,27,45,91,9,21,81,24,24,90,81,10,12,6,86,71
Emmanuel Maja,King's Lynn Town FC,316,Left Defensive Midfielder,Left Centre Back,England,25.0,173.0,0,0,47,21,60,0,38,43,0,23,0,36,26,0,39,27,0,0,0,0,39,45,12,0,0,0,0,53,0,77,58,63,84,90,95,96,91,0,98,55,98,89,96,87,65,95,93,1,8,15,45,62,100,92,95,99,99,100,57,74,54,99,48,1,100,100,44,25,36,51,44,92,28,85,56,86,63,92,55,50,23,59,37,81,46,53,0,0,68,64,0,100,59,100,0,92,11,12,79,24,30,58,70,75,85,73,66,81
Emmanuel Maja,Bedford Town,673,Left Defensive Midfielder,Right Defensive Midfielder,England,25.0,173.0,0,0,10,1,17,0,0,100,0,0,0,13,15,0,14,16,0,0,0,0,8,12,46,24,25,26,68,27,0,66,70,54,47,86,79,73,58,80,95,34,93,98,74,61,98,53,46,4,97,87,67,92,100,64,44,97,97,99,32,35,25,62,12,6,100,100,27,8,47,51,55,86,40,92,11,43,36,63,16,11,5,73,1,30,27,30,0,0,11,11,0,100,0,0,0,91,10,22,89,10,18,79,77,40,71,37,79,84
Emmanuel Onariase,Maidenhead United,1800,Left Centre Back,Centre Back,England,29.0,188.0,46,48,70,89,51,44,47,82,0,64,51,23,24,54,24,25,0,0,0,45,53,36,29,13,17,0,100,24,0,74,80,75,83,96,98,39,36,99,93,17,37,99,86,83,99,90,89,64,98,95,99,97,100,34,42,94,26,94,14,20,12,19,8,25,100,100,54,49,43,67,40,94,47,59,33,27,22,44,49,46,22,76,21,24,14,16,0,69,70,61,52,100,36,93,74,86,22,20,89,9,34,67,41,53,29,6,69,30
Eno Nto,Hereford FC,624,Right Wing,Right Midfielder,England,23.0,180.0,72,74,69,60,65,69,55,29,0,77,0,94,77,0,96,85,0,0,0,56,80,67,3,89,83,92,20,90,0,2,8,14,17,32,34,27,22,35,21,87,16,1,8,9,4,8,9,73,0,35,13,39,100,35,55,43,57,90,85,58,81,59,63,100,100,100,11,3,11,67,2,23,22,71,10,64,95,26,14,57,27,15,99,39,47,43,68,93,81,77,0,2,95,51,93,6,30,98,2,54,98,27,23,52,62,33,26,23
Ethan Mann,South Shields,2352,Left Centre Back,Right Back,England,22.0,188.0,0,0,10,5,11,0,38,79,0,16,0,21,22,0,22,23,0,0,0,0,10,11,41,28,39,15,91,41,0,74,80,44,65,85,96,11,12,87,74,20,23,92,45,39,86,75,70,84,21,78,71,65,100,11,29,65,22,95,14,15,19,16,7,64,100,100,98,98,84,29,82,86,75,28,98,71,20,94,90,76,98,89,90,56,28,30,0,26,18,15,47,100,0,0,35,53,85,24,70,43,29,61,73,58,49,74,65,75
Ethan Mitchell,Fylde,2444,Left Centre Midfielder,Right Defensive Midfielder,England,23.0,190.0,0,0,58,65,49,0,67,53,0,56,82,65,78,86,71,86,0,0,0,57,58,58,41,42,54,30,84,40,0,22,61,22,31,60,71,74,56,69,94,64,70,74,79,47,88,95,75,23,63,63,64,65,21,70,95,99,96,100,66,66,63,91,46,42,100,100,86,72,46,56,68,61,36,68,74,55,52,57,84,78,75,65,32,82,60,71,0,65,63,63,46,74,38,27,73,33,57,69,25,85,55,27,38,63,46,63,29,34
Ethan Robson,Spennymoor Town,677,Right Defensive Midfielder,Centre Defensive Midfielder,England,29.0,180.0,69,71,81,64,82,48,55,33,0,88,79,54,40,0,40,34,98,88,78,74,73,69,62,24,25,26,68,42,0,48,71,54,41,71,70,65,66,61,98,56,99,99,82,67,72,78,59,43,32,40,81,69,100,62,55,99,77,100,55,49,47,54,24,57,100,100,76,60,59,75,52,71,57,70,74,70,45,57,82,83,46,70,9,71,74,81,67,0,58,61,0,44,68,97,0,55,52,46,48,74,38,59,62,49,27,47,61,53
