Name,Team,Minutes,Primary Position,Secondary Position,Nationality,Age,All Goals,xG,Shooting%,Assists,xG Assisted,Key Passes,Dribbles,Successful Dribbles,Dribble%,Dispossessed,Turnovers,Clearances,Aggressive Actions,Defensive Regains,Ball Recoveries,Tack&Int,Aerial Win%,Errors,Pressures,Counterpressures,Counterpress Regains,Passing%,Deep Progressions,Carry%,OP F3 Passes,Touches In Box,Successful Box Cross%,Crossing%
Alfie-John Terence Allen,Tonbridge Angels FC,631,Right Centre Midfielder,Left Centre Midfielder,England,23,71,29,94,0,44,68,29,45,100,46,41,66,52,94,81,79,33,100,56,94,99,8,64,40,55,15,40,25
Ali Omar,Farnborough,364,Left Centre Back,Left Back,England,26,0,61,0,93,70,53,0,0,0,56,85,99,24,60,99,91,88,1,14,7,42,2,29,71,15,10,43,93
Amir Hadi,Farnborough,1027,Left Wing,Right Wing,England,23,59,63,14,94,78,66,97,95,29,2,1,24,43,86,46,32,11,100,66,68,99,5,48,13,63,68,50,16
Andy Carroll,Dagenham & Redbridge,1030,Left Centre Forward,Right Centre Forward,England,37,96,91,31,85,90,86,34,48,91,20,15,71,15,29,46,14,88,7,34,63,99,8,39,19,61,97,100,52
Anointed Chukwa,Chippenham Town,1024,Right Centre Forward,Centre Forward,England,25,76,85,39,0,50,56,41,31,10,15,10,24,47,61,9,13,35,7,71,87,99,14,11,9,51,79,12,38
Ansu Jennah,Slough Town FC,479,Left Defensive Midfielder,Right Defensive Midfielder,Sweden,27,0,23,0,87,36,65,66,65,40,17,53,62,36,84,99,48,66,1,37,89,99,4,51,32,31,50,100,0
Antony Papadopoulos,Maidstone United,1500,Right Wing,Left Wing,England,23,67,67,52,96,98,95,63,66,56,20,39,47,48,81,69,41,67,100,51,67,99,11,47,36,81,77,54,55
Archie Tamplin,Chelmsford City,1128,Left Defensive Midfielder,Right Defensive Midfielder,England,23,56,72,55,61,87,62,62,58,33,29,32,60,50,79,94,74,71,100,72,90,99,4,35,35,50,58,28,58
Archy Taylor,Eastbourne Borough,672,Right Wing Back,Left Wing Back,England,22,70,60,29,0,40,57,28,15,2,32,52,57,38,73,93,33,56,100,60,91,99,9,52,58,71,81,34,26
Arthur Penney,Tonbridge Angels FC,2298,Left Centre Back,Centre Back,England,23,0,33,11,0,8,10,14,17,87,80,87,98,12,75,97,45,72,100,16,23,97,24,16,92,10,47,100,0
Asher Yearwood,Maidenhead United,1250,Right Defensive Midfielder,Right Centre Midfielder,England,28,0,63,21,58,92,85,27,36,90,27,63,63,61,91,98,54,68,100,73,97,100,36,44,60,80,72,56,70
Ashley Clarke,AFC Totton,1645,Left Wing,Left Midfielder,England,20,86,82,73,97,82,73,79,67,11,5,12,10,38,79,24,30,2,100,84,99,99,3,22,16,49,83,23,32
Avan Jones,Enfield Town FC,866,Right Wing Back,Right Back,England,24,0,69,9,0,27,33,15,13,29,88,55,92,29,86,74,38,22,100,54,55,99,0,19,46,18,61,28,55
B. Dolaghan,Worthing FC,1916,Centre Forward,Left Centre Forward,England,21,99,99,88,92,57,54,51,50,41,16,27,12,55,95,8,9,6,100,94,99,100,31,14,19,38,97,100,0
B.Goode,Chesham United FC,2714,Goalkeeper,,England,32,0,0,0,0,9,7,8,10,100,100,94,8,2,88,12,0,0,11,1,0,0,0,30,94,8,7,100,0
B.Leonard,Enfield Town FC,2533,Right Wing Back,Right Midfielder,England,24,64,51,53,80,91,80,35,23,6,63,47,63,27,53,68,35,51,23,46,54,97,0,29,48,36,55,12,65
B.Williams,Tonbridge Angels FC,1816,Right Back,Left Defensive Midfielder,England,24,0,31,42,0,44,35,43,50,71,38,66,88,28,89,95,60,88,17,32,43,99,15,77,64,41,17,100,15
Bailey Akehurst,Tonbridge Angels FC,1923,Left Back,Left Wing Back,England,22,60,45,50,79,80,74,57,50,21,48,52,90,55,96,85,78,74,18,57,66,97,1,57,51,36,24,46,26
Basil Tuma,Slough Town FC,483,Right Attacking Midfielder,Left Centre Midfielder,Malta,21,77,58,97,0,43,65,97,96,36,10,4,46,35,78,58,67,23,100,66,76,96,5,28,23,62,65,56,52
Bayley Brown,Enfield Town FC,1220,Left Centre Midfielder,Left Defensive Midfielder,England,29,55,65,81,59,13,10,36,46,87,21,34,70,48,82,85,41,71,100,59,86,99,4,25,26,29,59,100,0
Ben Chapman,Ebbsfleet United,2342,Left Wing Back,Centre Attacking Midfielder,England,27,66,54,55,82,83,72,63,59,30,22,42,54,43,91,87,37,24,21,62,65,99,6,80,46,88,67,13,32
Ben Coker,Ebbsfleet United,1325,Left Wing Back,Left Centre Back,England,36,0,37,17,78,70,76,20,20,53,66,78,64,21,36,60,26,78,11,25,25,81,18,54,72,72,64,29,38
Ben Tompkins,Chelmsford City,2069,Right Centre Back,Centre Back,England,21,0,37,37,0,18,11,19,27,100,73,84,99,13,87,99,54,98,19,20,26,96,7,31,79,17,50,100,0
Billy Clifford,Farnborough,1491,Right Defensive Midfielder,Right Centre Midfielder,England,33,0,47,37,54,60,75,54,64,76,20,42,50,44,78,96,58,19,100,55,77,99,22,92,49,85,42,61,57
Billy Phillips,Chippenham Town,574,Left Midfielder,Left Centre Forward,England,19,88,89,84,0,45,73,73,66,18,10,14,22,29,67,47,22,5,100,47,87,99,33,10,27,63,90,61,93
Bivish Gurung,Dover Athletic,812,Right Centre Midfielder,Right Defensive Midfielder,England,24,0,40,14,0,36,48,37,29,13,29,43,54,75,99,90,53,37,4,92,98,100,4,23,28,31,35,5,93
Bobby Unwin,Tonbridge Angels FC,429,Right Wing,Left Wing,England,23,98,81,77,0,95,59,75,78,53,28,17,49,20,53,32,32,94,100,51,67,98,2,26,29,40,73,40,58
Bradley Ash,Bath City,2004,Right Centre Forward,Centre Forward,England,30,81,86,81,65,49,31,79,66,10,2,4,23,62,93,27,19,3,100,97,99,100,0,5,0,20,84,100,12
Brandon Haunstrup,AFC Totton,866,Left Back,Left Centre Back,England,29,80,53,66,70,64,70,27,28,53,67,66,68,10,51,93,33,48,100,15,14,15,37,91,74,78,51,23,72
Brandon Leroy Pierrick Keutcha,Tonbridge Angels FC,431,Left Wing,Left Midfielder,England,24,80,19,94,0,62,59,78,60,6,12,27,20,22,74,54,41,77,1,30,61,98,35,26,36,45,29,100,0
Brendan Kiernan,Hampton & Richmond,382,Centre Attacking Midfielder,Left Midfielder,England,33,0,65,12,0,24,36,59,66,70,12,2,22,7,17,73,23,41,100,34,65,80,2,31,13,62,86,100,0
Brennan Camp,Dorking Wanderers FC,2363,Right Centre Back,Right Back,Scotland,25,73,78,94,73,74,57,24,22,38,49,65,85,25,89,99,68,74,9,34,54,99,9,80,65,42,69,34,48
Brian Nelson,Slough Town FC,617,Left Defensive Midfielder,Right Defensive Midfielder,England,,0,16,0,0,65,43,35,37,53,71,46,57,81,96,99,86,15,100,83,97,100,6,22,58,30,11,56,58
Brody Peart,Tonbridge Angels FC,1383,Right Wing,Right Attacking Midfielder,England,21,89,75,89,77,47,47,84,86,48,29,16,30,60,90,26,34,33,100,73,82,99,0,29,21,29,58,5,41
C.Cook,Horsham FC,1613,Centre Attacking Midfielder,Right Centre Midfielder,England,26,81,93,87,52,74,71,67,63,31,5,15,42,91,99,83,77,38,100,96,99,100,10,46,20,60,82,53,45
Caine Bradbury,Chippenham Town,1322,Left Midfielder,Right Midfielder,England,25,70,71,89,78,86,95,46,48,53,42,36,36,59,87,51,38,5,11,71,98,100,25,71,48,87,69,36,81
Callum Adebiyi,Chesham United FC,2014,Left Centre Back,Left Back,England,32,76,58,79,0,14,16,11,12,70,62,75,96,19,87,97,24,88,100,22,30,92,14,60,75,23,62,100,14
Callum Dolan,Torquay United,855,Left Wing,Left Defensive Midfielder,England,25,88,76,39,97,92,86,93,94,56,3,17,50,57,88,49,32,26,5,63,72,99,9,53,23,74,78,13,32
Callum Wood,Weston-super-Mare AFC,1217,Left Centre Back,Left Back,Wales,23,0,25,0,0,21,22,30,41,91,63,86,93,11,71,96,73,83,2,14,18,66,6,54,82,23,13,0,14
Callum Wood,Chippenham Town,496,Left Centre Back,Centre Back,Wales,23,77,69,94,0,69,41,21,31,100,84,100,96,8,52,98,23,91,1,8,20,87,49,62,100,21,38,100,0
Camron Gbadebo,Salisbury,1009,Right Centre Back,Left Centre Back,England,23,0,34,37,0,45,25,25,37,100,66,88,99,16,90,96,31,92,1,21,35,99,64,38,91,21,50,0,100
Camron Gbadebo,Eastbourne Borough,1330,Right Centre Back,Centre Back,England,23,0,62,29,0,7,16,28,39,91,56,78,99,22,76,99,87,81,100,28,39,96,25,36,77,20,46,3,45
Canice Carroll,Chippenham Town,1457,Left Centre Back,Right Centre Back,Republic of Ireland,27,68,62,95,0,15,24,27,40,100,65,75,85,18,87,99,36,61,100,17,29,94,55,42,82,22,52,64,58
Charlee Adams,Chelmsford City,529,Right Defensive Midfielder,Left Defensive Midfielder,England,31,0,25,98,0,32,60,20,30,100,59,70,70,13,72,99,50,68,100,16,59,99,5,83,59,44,0,40,38
Charlee Adams,AFC Hornchurch,361,Centre Defensive Midfielder,Right Defensive Midfielder,England,31,0,50,94,0,82,95,17,23,100,68,75,71,18,21,98,35,88,100,18,38,99,1,83,63,54,50,50,82
Charlie Binns,Bath City,316,Goalkeeper,,England,21,0,0,0,0,0,0,0,0,0,100,100,0,6,94,15,0,0,1,0,0,0,0,16,100,5,0,0,0
Charlie Carter,Dorking Wanderers FC,1288,Left Centre Midfielder,Left Defensive Midfielder,England,29,96,92,86,58,45,41,79,73,22,7,18,60,30,87,51,26,64,100,52,92,100,22,68,27,67,86,68,20
Charlie Cummins,Weston-super-Mare AFC,1258,Right Defensive Midfielder,Centre Defensive Midfielder,Republic of Ireland,20,54,73,55,0,70,75,50,54,58,34,53,53,82,98,97,64,72,100,93,99,100,32,62,57,61,62,100,0
Charlie Osborne,AFC Totton,586,Left Centre Midfielder,Left Defensive Midfielder,England,20,0,37,94,97,43,45,25,38,100,18,47,56,85,99,85,55,83,100,93,99,100,79,53,42,56,21,100,0
Charlie Pegrum,AFC Hornchurch,1645,Right Wing,Left Wing,England,21,48,63,26,52,68,83,60,57,31,11,31,48,51,85,93,63,16,15,72,94,99,11,44,38,77,75,46,43
Charlie Rowan,Hemel Hempstead Town,1052,Centre Back,Right Centre Back,England,28,58,56,29,0,15,11,17,11,5,84,68,93,52,93,99,42,77,100,45,83,100,2,39,60,20,56,100,0
Charlie Ruff,AFC Hornchurch,801,Centre Attacking Midfielder,Left Centre Forward,England,26,81,94,88,97,98,94,69,77,72,5,12,31,32,92,39,22,12,100,63,90,100,21,58,18,68,81,100,93
Charlie Sayers,Hampton & Richmond,2434,Left Centre Back,Left Back,England,22,41,25,55,0,20,22,6,8,100,72,81,85,33,88,87,39,56,100,43,64,99,6,70,76,27,21,23,19
Charlie Seaman,Ebbsfleet United,2158,Right Wing Back,,England,26,0,50,14,90,94,93,67,63,30,15,41,63,16,64,68,27,68,100,36,79,99,5,64,42,86,51,32,53
Chris Haigh,Chelmsford City,2054,Goalkeeper,,England,29,0,0,0,48,24,11,11,11,70,100,93,0,2,83,12,0,0,19,3,0,0,0,56,93,11,0,100,0
Christian Maghoma,Dagenham & Redbridge,1546,Centre Back,Left Centre Back,DR Congo,28,0,49,29,0,17,14,10,13,100,84,91,96,13,76,94,34,92,100,18,30,95,33,8,90,8,58,100,0
Christian N'Guessan,Dagenham & Redbridge,1345,Left Defensive Midfielder,Right Defensive Midfielder,England,27,0,20,0,0,51,36,38,39,47,35,56,66,26,68,98,34,83,11,45,56,91,33,41,39,37,23,100,38
Christie Ward,AFC Totton,1640,Right Defensive Midfielder,Left Defensive Midfielder,England,22,64,74,71,0,39,44,43,47,63,33,57,64,26,83,85,26,57,100,50,89,100,26,42,60,68,61,61,14
Christos Batzelis,AFC Totton,2051,Left Back,Left Wing Back,Greece,21,44,13,55,0,59,56,61,73,82,19,61,73,55,85,63,74,21,100,62,57,97,15,61,52,42,29,34,38
Cian Dillon,Enfield Town FC,496,Centre Forward,Right Centre Forward,Republic of Ireland,20,77,74,96,99,98,89,48,31,5,29,6,33,9,32,24,7,2,100,75,97,99,8,21,8,42,79,28,95
Cody Cooke,Torquay United,1219,Centre Forward,Left Centre Forward,England,33,91,96,53,91,70,53,15,16,70,33,31,15,10,19,0,8,51,100,43,75,99,0,13,13,37,81,100,58
Connor Lawless,Dagenham & Redbridge,1154,Left Wing Back,Left Centre Midfielder,England,24,0,20,97,60,59,60,29,28,45,42,49,67,49,95,76,73,51,9,76,88,99,11,37,41,35,36,30,31
Connor Roberts,Chesham United FC,1323,Right Wing Back,Left Wing Back,England,29,53,69,19,89,85,86,28,30,58,62,63,71,46,91,73,49,61,100,44,42,91,5,67,65,54,60,42,58
Connor Stevens,Chesham United FC,2564,Right Centre Back,Left Centre Back,England,28,41,14,17,79,75,32,20,15,15,76,74,84,14,80,97,31,79,10,17,30,98,17,32,75,25,71,56,52
Conor Harris,Farnborough,572,Left Defensive Midfielder,Centre Defensive Midfielder,England,,74,46,77,0,93,65,26,17,5,62,67,67,54,92,98,57,56,100,46,80,99,10,61,61,42,60,100,0
Corey Panter,Dagenham & Redbridge,2206,Left Centre Back,Left Back,England,25,0,19,0,75,43,38,9,0,0,85,89,92,27,88,98,42,79,100,27,52,99,2,59,85,24,16,20,29
Corie Andrews,Maidenhead United,400,Centre Forward,Left Centre Forward,England,28,0,84,97,0,54,74,15,0,0,1,5,12,39,87,3,7,1,100,80,73,99,7,4,3,50,88,100,58
Craig Eastmond,Eastbourne Borough,1691,Centre Defensive Midfielder,Left Defensive Midfielder,England,35,0,43,29,83,60,54,47,56,74,54,57,78,55,97,100,71,79,100,60,91,99,22,70,50,44,36,73,29
Craig Fasanmade,Hampton & Richmond,1710,Right Wing,Left Centre Forward,England,25,85,81,81,51,45,46,36,25,6,28,23,33,42,66,15,16,8,100,83,88,99,5,9,8,25,74,28,58
Craig Tanner,AFC Totton,2147,Left Defensive Midfielder,Centre Defensive Midfielder,England,31,44,21,37,76,73,83,33,41,82,66,69,74,70,89,91,67,41,20,58,70,99,23,85,73,65,23,65,32
D.Akyeampong,Torquay United,555,Right Back,Right Wing Back,England,22,0,7,0,0,22,29,20,17,29,29,67,88,38,48,68,64,77,100,29,38,97,12,29,35,21,16,40,58
D.Dowrich,Hemel Hempstead Town,2477,Left Back,Left Wing Back,England,22,0,30,25,71,33,37,43,50,73,31,48,74,59,97,98,79,68,22,67,78,99,1,53,34,35,36,14,17
D.Roth,Slough Town FC,1694,Right Back,Right Wing Back,England,26,0,24,0,0,30,31,49,61,82,33,63,76,28,85,95,88,57,16,27,42,99,4,57,48,33,24,43,16
Dajon Golding,Maidstone United,1337,Right Wing,Centre Forward,England,28,85,84,50,57,80,75,48,47,42,10,33,16,42,88,42,26,22,100,70,92,100,9,25,28,72,84,2,75
Dan Ellison,Weston-super-Mare AFC,483,Left Centre Back,Right Back,England,21,0,60,94,0,0,0,0,0,0,74,100,75,22,94,99,78,83,100,23,37,99,8,11,84,8,26,0,0
Dan Hayfield,Torquay United,1865,Right Defensive Midfielder,Left Defensive Midfielder,England,29,0,52,25,80,40,43,30,36,82,55,66,57,25,69,98,29,58,100,35,68,99,21,46,67,62,47,42,52
Dan Pybus,Dorking Wanderers FC,569,Centre Defensive Midfielder,Left Defensive Midfielder,England,28,74,13,55,83,51,46,32,28,29,61,63,60,61,100,99,69,82,1,91,99,100,12,95,65,75,12,19,45
Daniel Bayliss,Chesham United FC,585,Left Centre Back,Centre Back,England,27,0,47,25,82,34,36,12,16,100,85,89,99,14,83,98,19,83,100,18,29,91,3,21,88,15,79,12,95
Daniel Gallagher,Dorking Wanderers FC,1157,Centre Defensive Midfielder,Right Centre Back,England,28,0,17,0,0,19,18,16,16,70,69,79,77,42,94,99,50,85,9,46,52,99,36,43,67,24,14,100,0
Daniel Greenslade,Bath City,1854,Left Back,Left Wing Back,England,30,0,9,0,0,54,61,20,26,90,43,83,86,33,77,98,30,62,100,44,47,98,0,88,60,46,11,59,21
Daniel Martin,Weston-super-Mare AFC,1099,Left Back,Left Wing Back,England,26,57,41,98,0,43,42,53,59,70,46,53,80,26,90,89,56,91,100,40,39,97,10,77,49,45,19,14,58
Daniel O'Connor,AFC Totton,395,Left Centre Back,Centre Back,Republic of Ireland,21,0,58,0,92,68,23,16,22,100,100,100,89,9,37,96,31,97,1,13,14,78,50,12,100,12,47,0,0
Daniel Quick,Eastbourne Borough,1287,Right Centre Back,Right Back,England,23,0,19,0,0,54,59,29,30,58,52,78,88,39,86,98,59,87,100,40,34,92,7,82,66,46,24,15,55
Danny Ryan Barker,Horsham FC,2095,Right Defensive Midfielder,Centre Defensive Midfielder,England,27,44,26,42,48,12,19,24,24,53,69,80,75,46,91,94,59,56,100,44,60,99,29,26,74,21,10,100,0
Darren McQueen,AFC Hornchurch,1230,Left Wing,Left Centre Forward,England,31,81,85,66,59,69,43,30,16,2,48,40,33,10,48,23,13,15,100,42,79,99,7,19,29,39,77,19,14
David Agbontohoma,Maidstone United,336,Left Centre Back,Centre Back,England,24,0,0,0,0,0,0,0,0,0,100,100,98,10,63,98,77,41,100,8,6,0,25,19,100,13,18,0,25
David Longe-King,Chelmsford City,1643,Left Centre Back,Centre Attacking Midfielder,England,31,48,50,94,0,7,8,7,0,0,85,89,90,8,58,97,17,98,100,13,20,95,47,10,90,10,53,100,0
David Sesay,Maidstone United,2566,Right Back,Right Centre Back,Sierra Leone,27,0,17,29,45,27,22,33,33,46,65,76,79,16,53,92,53,71,100,22,41,98,4,68,66,41,27,12,49
Davide Rodari,Hampton & Richmond,783,Left Centre Forward,Centre Forward,Switzerland,26,95,76,41,73,43,64,42,38,29,35,21,52,8,23,17,12,53,100,22,44,99,0,15,10,32,87,40,38
Decarrey Musi Sheriff,Dover Athletic,1308,Centre Forward,Left Wing,England,28,86,92,54,89,62,54,46,56,78,25,26,23,25,47,13,21,6,100,56,62,98,1,5,10,26,77,2,72
Declan Rose,AFC Totton,1864,Right Back,Right Wing Back,England,24,0,28,21,88,86,85,44,45,53,66,70,78,12,40,91,33,70,100,13,27,76,7,80,77,60,32,51,26
Dennon Lewis,Dorking Wanderers FC,2568,Left Wing Back,Left Wing,England,29,71,75,87,93,99,96,55,49,22,25,33,43,7,24,27,18,84,100,18,52,98,1,54,37,67,75,16,32
Deon Moore,Maidstone United,1898,Centre Forward,Left Centre Forward,England,27,86,89,95,87,88,84,33,36,62,13,20,16,42,79,5,13,23,100,74,79,99,7,14,10,64,89,100,70
Dermi Lusala,Dagenham & Redbridge,1649,Right Wing Back,Right Back,England,23,64,56,26,0,54,75,54,47,20,22,52,68,76,92,90,56,56,100,75,49,97,15,34,35,47,55,17,76
Devante Stanley,Hemel Hempstead Town,1809,Right Back,Right Wing Back,England,29,0,21,17,0,61,32,29,34,78,48,71,78,19,39,97,49,61,100,21,31,87,1,91,63,58,17,41,31
Dillon Senan De Silva,Dagenham & Redbridge,378,Right Wing Back,Right Midfielder,Sri Lanka,24,0,16,55,0,87,85,71,39,2,16,24,53,25,82,71,38,60,100,55,60,99,0,46,25,43,65,12,82
Dominic Bernard,Weston-super-Mare AFC,576,Right Back,Left Defensive Midfielder,Republic of Ireland,29,0,0,0,0,37,45,31,39,82,42,67,40,29,82,77,37,77,100,34,65,99,48,35,63,43,51,0,58
Dominic Odusanya,Chelmsford City,1873,Left Defensive Midfielder,Centre Defensive Midfielder,England,27,46,49,49,0,35,27,22,26,82,86,72,66,16,36,95,24,80,100,25,58,98,13,67,75,45,35,100,0
Dominic Poleon,Farnborough,1919,Centre Forward,Left Centre Forward,St. Lucia,32,94,96,88,66,42,54,56,58,54,19,27,14,14,17,2,9,14,18,45,75,99,24,7,16,28,88,56,38
Dominic Revan,Salisbury,2451,Right Centre Back,Right Back,England,25,0,11,37,0,33,25,29,24,19,64,72,81,31,93,89,50,45,100,46,46,99,39,35,75,28,20,12,26
Dominic Samuel,Ebbsfleet United,1352,Centre Forward,Right Centre Forward,England,32,99,98,88,0,33,36,20,15,10,24,41,30,8,6,12,10,19,100,25,33,59,34,12,28,50,94,50,79
Donovan Wilson,Dagenham & Redbridge,1112,Centre Forward,Right Centre Forward,England,29,74,71,55,0,18,24,41,50,78,14,13,16,24,18,0,18,4,100,66,57,99,0,11,2,21,85,100,79
Dylan Morgan,Torquay United,1073,Left Wing,Right Wing,England,23,96,73,77,0,66,80,86,91,70,18,23,43,47,64,41,18,7,100,72,91,99,8,53,30,90,83,35,20
Dylan Stephenson,Dagenham & Redbridge,1436,Right Centre Forward,Left Centre Forward,England,23,88,88,66,55,82,65,22,19,29,27,32,16,65,71,17,20,6,100,95,92,92,8,13,22,40,90,43,38
E.Simon,Tonbridge Angels FC,1027,Centre Forward,Right Centre Forward,England,29,94,93,89,0,31,45,21,18,29,40,32,32,20,38,13,8,10,100,58,75,99,44,13,27,28,87,100,58
Ed Palmer,Torquay United,795,Right Centre Back,Right Back,England,34,82,72,70,91,70,42,25,13,2,81,76,97,20,84,98,35,77,100,21,14,94,7,63,77,39,73,69,45
Emlyn Lewis,Weston-super-Mare AFC,2251,Right Centre Back,Centre Back,Wales,29,56,58,26,46,36,28,14,14,53,74,89,98,17,91,99,53,90,100,18,25,95,6,47,81,21,54,100,29
Emmanuel Onariase,Maidenhead United,1364,Left Centre Back,Centre Back,England,29,0,63,66,0,21,16,8,10,100,69,78,97,34,93,99,85,99,100,32,24,96,35,47,71,23,70,0,93
Ethan Sutcliffe,Tonbridge Angels FC,1285,Right Centre Back,Centre Back,England,22,0,39,98,58,37,22,12,15,100,68,83,96,22,88,94,40,71,100,28,26,92,1,14,65,10,32,100,0
Ethan Vaughan,Chippenham Town,2111,Left Back,Left Wing Back,Wales,22,0,43,72,0,57,36,49,44,29,55,42,64,26,82,72,40,85,100,43,62,99,13,54,45,45,50,6,42
Evander Grubb,Salisbury,559,Left Midfielder,Centre Attacking Midfielder,England,21,0,72,70,0,75,85,98,99,75,5,17,36,16,57,20,35,3,100,49,91,99,32,56,33,78,71,61,58
Ezio Touray,Chippenham Town,1214,Left Centre Forward,Right Centre Forward,Italy,22,55,91,97,81,74,62,38,27,6,11,20,34,46,70,12,12,41,100,69,98,100,6,21,17,42,87,100,25
Faal Muhammadu,Maidstone United,331,Centre Forward,Right Centre Forward,England,28,0,91,94,0,82,83,38,25,5,32,5,14,37,49,29,11,3,100,56,82,99,0,15,4,20,88,100,0
Finlay Barnes,Ebbsfleet United,613,Centre Attacking Midfielder,Right Attacking Midfielder,England,25,94,60,99,0,99,98,77,80,53,4,30,15,81,99,46,28,14,100,98,99,100,58,88,41,95,81,28,93
Finley Wilkinson,Hemel Hempstead Town,863,Left Wing,Centre Forward,England,23,63,83,79,70,56,39,19,28,100,32,52,24,42,66,25,28,10,100,61,69,99,5,16,32,33,66,50,45
Francis Mampolo,Dover Athletic,1311,Left Wing,Left Midfielder,England,23,53,63,71,99,87,73,93,88,21,1,1,31,54,87,55,38,14,100,81,76,99,5,32,3,42,73,15,58
Frank Vincent,Dorking Wanderers FC,2063,Left Centre Back,Left Centre Midfielder,England,27,44,55,39,77,83,88,36,36,48,49,57,67,48,94,98,51,33,100,60,86,100,10,79,64,66,44,23,74
Frankie Baker,Tonbridge Angels FC,450,Centre Forward,,England,20,79,87,99,89,49,57,23,20,29,4,32,0,18,78,26,7,3,100,70,57,100,2,7,1,24,75,100,0
