Name,Team,Minutes,Primary Position,Secondary Position,Nationality,Age,Height,All Goals,NP Goals,xG,xG/Shot,Shots,Goal Conversion%,Shooting%,Shot Touch%,Penalty Conversion%,PSxG,Assists,xG Assisted,Key Passes,OP Assists,OP xG Assisted,OP Key Passes,SP Assists,SP xG Assisted,SP Key Passes,Scoring Contribution,xG & xG Assisted,Shots & Key Passes,O/U Performance,Dribbles,Successful Dribbles,Failed Dribbles,Dribble%,Fouls Won,Penalty Wins,Dispossessed,Turnovers,Interceptions,PAdj Interceptions,Clearances,PAdj Clearances,Defensive Actions,Aggressive Actions,Blocks/Shot,Defensive Regains,Average DA X,Ball Recov. F2,Ball Recoveries,Tackles,Tack&Int,Tack/DP%,PAdj Tackles,PAdj Tack&Int,Fouls,Dribbles Stopped%,Dribbled Past,Aerial Win%,Aerial Wins,Errors,Pressures,PAdj Pressures,Pressure Regains,Counterpressures,Counterpress Regains,Average Pressure X,Pressures F2,Pressures F2%,Counterpressures F2,Counterpressures F2%,Yellow Cards,2nd Yellows,Red Cards,OP Passes,Passing%,Long Balls,L/R Footedness%,Long Ball%,Pr. Long Balls,UPr. Long Balls,Passes Pressured%,Pr. Pass%,Pr. Pass% Dif.,Average Pass X,Deep Progressions,xGBuildup,xGChain,Carries,Carry%,Carry Length,OP F3 Passes,PintoB,OP Passes Into Box,SP PintoB,Passes Inside Box,Touches In Box,PinTin,Throughballs,Successful Box Cross%,Successful Crosses,Crossing%,Deep Completions,Pass Forward%,Pass Sideways%,Pass Backward%,F3 Pass Forward%,F3 Pass Sideways%,F3 Pass Backward%,Pass Length,Pr. Pass Length,Pass Length Ratio,Pr. Pass Length%,Pr. Pass Length Dif.,Succ. Pass Length,Succ.Pr. Pass Length
Aaron Pickles,Southport,931,Right Centre Back,,England,21,188,0,0,0.15,0.04,4,0,0,0,,0,1,0.13,2,1,0.13,2,0,0,0,1,0.28,6,0.72,3,1,2,33,5,0,3,5,4,5.73,78,102.68,98,50,0.08,49,21.77,12,101,7,11,78,9.57,15.3,13,33,2,45,29,1,78,103.59,33,18,4,26.12,4,5,2,11,2,0,0,426,80,36,6,51,88,61,10,52,-27,33.32,19,1.9,1.99,326,99,4.65,23,2,2,0,1,17,19,0,0,0,,3,28,69,3,43,48,9,25.21,25.71,0.92,83,0.5,23.29,21.46
Aaron Powell,Peterborough Sports FC,1868,Left Centre Back,Left Back,England,23,177,0,0,0.39,0.05,8,0,0,0,,0,1,0.67,10,1,0.67,10,0,0,0,1,1.06,18,-0.06,10,8,2,80,34,0,12,10,30,30.25,97,99.41,273,126,0.06,153,30.28,55,264,45,75,66,49.75,80,23,30,23,60,44,0,205,224.73,100,56,28,33.8,44,21,20,36,6,0,0,759,69,66,75,40,111,151,17,70,2,44.95,98,5.3,6.38,556,97,4.87,135,12,12,0,1,10,22,0,33,5,29,2,41,53,6,41,55,4,23.74,19.27,0.88,102,-4.47,20.78,19.58
Aaron Skinner,Hereford FC,2444,Right Back,Left Back,England,24,174,2,1,0.43,0.05,8,13,38,0,100,1,1,1.48,23,1,1.29,22,0,0.19,1,2,1.91,31,0.09,27,19,8,70,34,2,21,21,38,38.72,75,78.74,485,223,0.04,189,31.22,145,392,75,113,79,75.57,114.29,40,43,20,54,36,1,370,363.13,122,84,30,34.74,83,22,50,60,6,0,0,1010,74,93,17,54,98,149,15,70,-4,48.35,126,9.95,10.45,769,97,4.84,222,30,24,6,1,26,50,0,33,11,26,6,35,55,11,36,52,12,21.11,18.56,0.92,99,-2.55,19.38,18.3
Adam Anson,Alfreton Town,591,Right Centre Back,,England,29,183,1,1,0.73,0.15,5,20,40,1,,0.82,0,0.07,1,0,0.07,1,0,0,0,1,0.79,6,0.21,1,0,1,0,2,0,1,2,3,1.23,33,14.58,73,37,0.05,26,23.5,9,52,12,15,71,5.38,6.61,7,56,5,52,15,0,54,29.43,13,11,1,28.85,5,9,3,27,0,0,0,124,53,18,12,33,39,48,15,58,5,36.43,11,1.11,1.32,64,97,4.02,15,2,2,0,1,18,20,0,50,1,33,0,44,51,5,53,33,13,31.97,25.82,0.82,80,-6.15,26.17,20.65
Adam Anson,Marine,2108,Right Centre Back,Right Back,England,29,183,2,2,1.46,0.16,9,22,33,0,,1.34,1,0.6,4,1,0.6,4,0,0,0,3,2.06,13,0.94,7,5,2,71,14,1,5,10,31,21.66,171,116.8,298,166,0.08,142,23.11,56,335,55,86,82,36.85,58.51,21,59,12,78,107,1,222,164.37,83,36,14,27.14,30,14,14,39,7,0,0,513,52,45,25,32,190,121,22,50,-3,42.24,38,6.38,6.66,229,96,4.45,57,7,4,3,3,27,31,2,29,3,33,5,48,45,7,35,49,16,25.13,19.39,0.83,93,-5.73,20.92,18.07
Adam Barton,Curzon Ashton FC,1748,Centre Defensive Midfielder,Centre Back,England,35,190,2,2,2.41,0.16,15,13,40,1,,1.82,1,0.7,5,1,0.62,4,0,0.08,1,3,3.11,20,-0.11,4,3,1,75,6,0,7,8,9,5.79,57,43.95,227,117,0.05,90,33.73,77,238,30,39,73,24.23,30.01,17,33,11,53,21,0,180,145.35,62,48,16,39.08,55,31,28,58,2,0,0,573,80,40,13,61,66,57,15,78,-2,43.08,42,6.59,8.55,361,97,4.9,73,8,7,1,1,40,47,1,0,1,25,2,26,64,9,33,62,5,20.67,20.16,0.97,94,-0.52,19.96,18.9
Adam Blakeman,Chorley,1925,Left Back,Centre Attacking Midfielder,England,34,175,3,3,1.42,0.04,36,8,28,1,,2.06,5,3.91,47,3,2.09,23,2,1.82,24,8,5.33,83,2.67,7,7,0,100,14,0,6,4,16,11.04,73,60.43,217,107,0.02,92,33.37,105,243,34,50,69,21.04,32.08,12,39,15,53,32,0,171,117.04,48,41,15,37.32,53,31,31,76,4,0,0,754,53,181,84,38,107,443,10,51,-2,55.58,171,8.15,9.63,519,99,3.28,219,132,43,89,6,16,59,0,19,30,30,5,39,58,3,40,55,5,31.66,25.31,0.87,81,-6.35,27.49,20.46
Adam Crowther,Chelmsford City,626,Left Centre Back,Centre Attacking Midfielder,England,25,194,1,1,0.73,0.12,6,17,50,0,,1.07,1,0.53,2,1,0.53,2,0,0,0,2,1.26,8,0.74,0,0,0,,2,0,3,1,11,13.14,32,37.12,46,23,0.08,19,25.52,20,115,5,16,63,4.37,17.5,5,75,3,71,24,0,37,37.54,9,11,2,32.44,10,27,8,73,0,0,1,260,74,35,18,64,35,52,12,64,-10,41.6,31,2.24,2.95,164,98,6.05,33,11,1,10,2,19,20,0,27,3,43,2,34,62,4,42,58,0,24.45,18.79,0.99,114,-5.66,24.12,21.43
Adam Henley,Chorley,1680,Right Back,Left Back,Wales,31,179,2,2,0.79,0.13,6,33,33,1,,0.9,1,0.26,4,1,0.23,3,0,0.03,1,3,1.05,10,1.95,6,4,2,67,12,0,18,12,23,17.71,72,58.15,270,136,0.05,99,31.87,55,162,34,57,59,23.25,40.95,18,29,24,41,25,0,219,136.3,63,54,23,35.21,57,26,34,63,3,0,1,344,63,33,17,41,80,73,12,75,12,50.98,57,3.55,4.18,221,90,4.75,92,11,6,5,3,20,26,0,18,2,25,3,49,41,11,23,53,24,23.38,21.05,0.89,101,-2.33,20.84,21.36
Adam Lund,Alfreton Town,2760,Right Defensive Midfielder,Left Defensive Midfielder,England,27,180,1,1,1.55,0.06,25,4,20,1,,1.81,1,1.35,17,0,0.88,13,1,0.47,4,2,2.9,42,-0.9,4,2,2,50,41,0,19,24,16,6.44,126,81.17,538,247,0.04,200,36.43,212,484,63,79,74,36.93,43.37,31,33,22,73,140,0,448,245.43,143,116,46,41.04,151,34,66,57,7,0,0,843,55,85,20,31,149,251,20,55,0,52.58,83,9.52,10.4,418,94,3.72,163,65,16,49,6,70,86,0,42,29,23,10,35,58,8,33,58,10,24.47,18.26,0.87,89,-6.21,21.19,16.3
Adam Marriott,King's Lynn Town FC,887,Centre Forward,Right Centre Forward,England,35,175,2,2,3.67,0.13,29,7,28,5,,2.92,2,1.3,15,2,1.3,15,0,0,0,4,4.97,44,-0.97,14,8,6,57,10,0,22,20,2,3.5,8,11.77,174,57,0,37,58.69,36,54,4,6,57,4.65,8.15,16,50,3,34,14,0,154,171.65,32,38,10,60.64,107,69,32,84,3,1,0,173,72,3,16,30,9,9,29,68,-5,62.92,21,4.15,8.13,172,85,5.23,73,8,8,0,2,63,71,1,25,2,40,5,14,70,17,12,77,11,17.34,14.8,0.98,107,-2.54,16.96,15.88
Adam May,Eastbourne Borough,657,Centre Defensive Midfielder,Left Defensive Midfielder,England,28,182,2,2,0.9,0.04,20,10,40,2,,1.4,0,0.15,5,0,0.12,4,0,0.03,1,2,1.05,25,0.95,2,1,1,50,5,0,4,4,5,4.99,17,18.21,114,57,0.01,50,35.49,41,93,10,15,53,10.87,15.86,2,18,9,60,9,0,102,112.06,36,33,11,39.17,30,29,16,48,0,0,0,292,74,32,17,57,30,43,29,69,-5,47.27,34,1.75,2.57,230,98,5.21,49,5,4,1,0,9,13,0,20,1,33,0,22,65,12,33,67,0,23.83,21.08,0.97,107,-2.75,23.1,22.56
Adam Thomas,Marine,1700,Right Back,Left Back,England,32,191,2,2,0.74,0.12,6,33,83,0,,1.06,2,1.85,13,2,1.85,13,0,0,0,4,2.59,19,1.41,6,4,2,67,8,0,20,15,19,15.98,61,41.95,296,137,0.05,97,35.52,105,272,40,59,69,29.74,45.72,24,42,18,56,50,1,233,189.38,65,59,16,41.23,87,37,40,68,3,0,0,543,56,47,24,38,82,103,18,51,-5,52.47,74,5.23,6.23,299,95,6.01,128,10,7,3,3,25,32,0,50,6,18,5,42,48,10,38,45,18,22.28,20.29,0.85,85,-1.98,18.97,17.33
Adam Thompson,Enfield Town FC,2466,Centre Back,Right Centre Back,Northern Ireland,33,185,1,1,0.87,0.11,8,13,13,0,,0.76,1,0.57,7,1,0.57,7,0,0,0,2,1.43,15,0.57,2,2,0,100,34,0,1,4,27,17.52,210,137.77,291,146,0.05,160,24.96,58,458,37,64,77,26.31,43.82,21,44,11,69,112,0,235,155.44,96,48,17,31.47,38,16,15,31,8,0,1,695,62,41,17,28,227,132,21,58,-4,35.67,34,5.81,6.48,265,99,3.51,47,1,1,0,5,35,36,0,0,0,0,6,44,50,6,47,47,6,23.5,19.17,0.84,97,-4.33,19.71,18.59
Adam Walker,Leamington FC,2569,Left Defensive Midfielder,Left Centre Midfielder,England,35,168,0,0,1.29,0.05,24,0,8,2,,0.23,2,0.57,12,2,0.57,12,0,0,0,2,1.86,36,0.14,10,7,3,70,15,1,24,20,32,15.4,57,37.17,461,278,0.01,194,39.74,208,398,46,78,58,25.5,40.91,16,29,33,44,20,1,399,240.09,133,115,42,41.81,145,36,64,56,6,0,0,767,61,40,71,35,75,95,22,60,-1,53.4,92,5.93,6.52,521,96,5.51,169,12,11,1,1,25,36,3,0,0,0,6,39,53,8,37,54,9,21,19.18,0.9,87,-1.82,18.86,16.72
Adan George,AFC Telford United,1000,Centre Forward,Left Wing,England,23,179,7,7,4.78,0.16,30,23,53,7,,6.65,3,1.62,7,3,1.62,7,0,0,0,10,6.41,37,3.59,19,11,8,58,10,0,28,40,9,8.29,4,3.25,300,121,0,78,66.26,36,54,7,16,64,7.34,15.63,17,0,4,16,8,0,276,249.63,72,64,18,67.19,230,83,59,92,0,0,0,161,61,2,16,20,7,7,29,60,-1,63.71,15,4.46,8.57,202,83,6.31,55,5,5,0,2,62,67,2,20,2,18,3,17,61,22,13,64,24,15.81,15.58,0.9,93,-0.23,14.3,14.51
Adebayo Azeez,Hemel Hempstead Town,636,Centre Forward,Left Centre Forward,England,32,183,0,0,0.94,0.12,8,0,0,3,,0,0,0.06,1,0,0.06,1,0,0,0,0,1,9,-1,5,1,4,20,7,0,16,31,2,1.89,2,1.63,127,34,0,31,71.74,12,13,3,5,60,3.51,5.4,18,0,2,29,19,0,107,101.48,30,43,12,74.33,98,92,41,95,0,0,1,71,61,0,29,,2,0,44,56,-5,68.75,3,1.51,2.34,73,60,4.44,25,0,0,0,0,28,28,0,,0,0,2,17,58,25,8,52,40,11.56,9.91,0.96,89,-1.65,11.15,8.82
Adrien Thibaut,Southport,717,Centre Forward,,England,21,,4,4,2.68,0.21,13,31,46,6,,3.23,1,0.24,4,1,0.24,4,0,0,0,5,2.93,17,2.07,7,4,3,57,17,0,14,25,1,1.81,1,1.63,173,56,0,35,69.07,17,23,8,9,89,5.75,7.56,26,0,1,22,8,0,139,146.8,34,30,5,68.83,113,81,27,90,5,0,0,87,76,0,24,0,1,1,30,88,13,68.54,1,1.24,3.61,85,78,5.3,40,2,2,0,4,38,40,0,0,1,50,6,6,64,30,0,68,33,12.17,10.79,0.97,96,-1.37,11.75,10.38
Adulai Sambu,Merthyr Town FC,392,Right Wing,Left Wing,England,21,183,1,1,1.46,0.24,6,17,17,3,,1,0,0.06,2,0,0.06,2,0,0,0,1,1.52,8,-0.52,4,0,4,0,12,0,22,17,3,4.32,6,6.71,107,37,0,22,49.13,17,38,11,14,79,12.81,17.13,9,25,3,27,4,0,89,92.93,16,22,4,52.49,52,58,19,86,0,0,0,100,72,2,10,29,8,5,29,63,-8,58.36,1,1.66,2.97,109,76,4.73,29,1,1,0,1,21,22,0,0,0,0,3,20,60,21,14,59,28,16.27,13.67,0.87,92,-2.61,14.17,12.52
Aidan Rutledge,Darlington,1646,Left Centre Forward,Right Centre Forward,England,25,,7,6,5.48,0.1,53,11,34,6,100,6.59,3,1.77,17,3,1.72,16,0,0.06,1,9,7.26,70,1.74,33,22,11,67,20,1,24,57,3,2.97,26,27.51,290,117,0.02,81,55.03,66,102,15,18,68,15.26,18.23,23,30,7,34,73,0,253,257.9,70,70,27,60.27,170,67,61,87,2,0,0,368,61,13,15,48,31,22,39,54,-7,62.64,25,8.36,11.36,307,87,4.28,107,15,7,8,8,134,141,0,27,5,24,10,18,66,16,16,57,27,15.89,14.07,0.88,94,-1.81,14.03,13.29
AJ Warburton,Marine,318,Centre Forward,Right Wing,England,20,,0,0,0.46,0.09,5,0,20,3,,0.19,0,0.05,1,0,0,0,0,0.05,1,0,0.51,6,-0.51,4,1,3,25,2,0,8,10,0,0,1,0.49,70,24,0.02,16,58.8,10,19,3,3,50,2.18,2.18,5,40,3,15,4,0,62,52.32,15,16,4,59.74,41,66,14,88,1,0,0,88,65,2,4,50,1,4,33,70,5,66.63,3,0.54,0.96,88,86,5.73,33,4,2,2,0,13,15,0,0,0,0,1,20,52,28,9,42,48,13.69,12.8,0.99,90,-0.89,13.6,11.51
Alan Massey,Hampton & Richmond,2414,Centre Back,Left Centre Back,England,37,180,1,1,1.14,0.09,13,8,46,0,,2.42,2,0.76,8,2,0.76,8,0,0,0,3,1.9,21,1.1,5,3,2,60,9,0,4,7,20,14.68,237,187.46,265,135,0.1,155,22.11,43,408,29,49,63,26.94,41.62,23,46,17,63,100,0,213,177.25,79,46,17,28.73,28,13,17,37,3,0,0,858,67,73,88,41,271,145,17,50,-17,33.35,28,5.23,5.87,474,98,5.08,50,2,2,0,7,44,46,0,0,0,0,8,38,57,5,44,46,10,24.37,22.18,0.9,87,-2.19,21.9,19.38
Aleksandrs Starčenko,Worksop Town FC,2852,Centre Attacking Midfielder,Left Centre Midfielder,Latvia,25,,2,2,5.05,0.08,62,3,31,3,,5.06,1,2.76,24,0,2.27,22,1,0.49,2,3,7.81,86,-4.81,24,11,13,46,34,0,66,66,24,17.13,38,26.84,817,369,0.02,253,49.94,246,377,78,102,66,55.66,72.8,40,31,41,49,77,0,699,550.65,184,218,65,51.89,380,54,160,73,6,0,0,882,63,48,12,37,56,112,22,55,-8,59.33,105,12.31,14.9,649,88,6.05,298,41,34,7,15,128,162,1,15,13,31,17,28,58,15,24,63,13,20.23,17.81,0.9,93,-2.42,18.23,16.59
Alex Brown,Scarborough Athletic,2595,Left Back,Left Wing Back,England,27,176,0,0,0.43,0.03,13,0,8,0,,0.06,3,3.73,24,2,3.32,19,1,0.41,5,3,4.16,37,-1.16,46,29,17,63,41,0,35,38,52,46.56,109,110.57,346,148,0.03,156,31.61,100,336,57,109,70,51.17,97.72,15,47,24,48,33,1,275,237.71,92,74,27,34.95,75,27,44,59,3,0,0,1044,62,108,83,36,138,268,12,55,-8,51.06,162,9.77,11.9,825,94,5.44,242,59,25,34,5,28,53,0,46,32,42,9,39,53,8,38,49,14,24.7,22.08,0.87,95,-2.62,21.47,20.91
Alex Curran,Curzon Ashton FC,2432,Centre Attacking Midfielder,Left Centre Midfielder,England,27,178,9,9,6.65,0.12,57,16,40,3,,8.98,2,2.49,30,2,2.39,28,0,0.09,2,11,9.14,87,1.86,24,13,11,54,41,0,44,73,18,11.93,12,7.74,385,152,0,97,55.44,89,162,16,34,48,8.8,20.73,28,6,17,22,18,0,341,259.72,78,97,27,57.31,224,66,82,85,6,0,0,562,73,58,12,60,26,82,21,65,-7,59.72,70,11.32,15.41,542,86,6.69,197,24,22,2,10,123,145,5,25,10,48,16,17,62,21,17,68,15,19.32,16.56,0.95,97,-2.76,18.35,16.02
Alex Fisher,Bath City,609,Centre Forward,Left Centre Forward,England,35,190,1,1,1.61,0.16,10,10,60,2,,2.85,2,1.08,8,2,1.08,8,0,0,0,3,2.69,18,0.31,5,3,2,60,5,0,14,15,1,0.81,4,2,80,20,0,21,64.88,35,54,2,3,40,2.37,3.18,5,25,3,38,39,0,73,47.32,17,32,5,66.17,62,85,30,94,1,0,0,158,62,4,31,44,7,6,41,52,-9,61.19,13,2.98,4.45,112,85,5.5,44,5,5,0,8,40,45,2,20,2,40,9,21,64,16,18,73,9,15.76,13.46,1,107,-2.29,15.75,14.41
Alex Fletcher,AFC Telford United,2580,Right Defensive Midfielder,Left Defensive Midfielder,England,29,174,1,1,0.81,0.07,12,8,17,0,,0.88,1,1.93,25,1,1.93,25,0,0,0,2,2.74,37,-0.74,14,8,6,57,26,0,22,13,33,34.83,50,54.33,418,204,0.02,170,36.85,179,398,53,86,76,55.58,90.4,28,32,17,59,41,1,337,310.41,122,101,38,39.75,106,31,45,45,4,0,0,1589,85,147,20,67,85,183,17,80,-5,46.9,198,17.25,18.02,1209,99,4.81,336,17,15,2,4,18,33,1,6,2,50,6,24,67,9,29,69,2,21.25,20.25,0.97,98,-0.99,20.54,19.78
Alex Healy-Byrne,Fylde,2328,Right Back,Right Wing Back,Republic of Ireland,21,,1,1,2.12,0.19,11,9,45,0,,1.35,2,1.17,17,2,1.17,17,0,0,0,3,3.3,28,-0.3,26,19,7,73,29,0,20,22,41,59.08,88,124.18,289,117,0.02,123,33.75,100,302,40,81,74,59.61,118.69,23,32,14,52,28,0,227,328.78,80,47,14,38.45,70,31,30,64,4,0,0,1294,81,89,7,53,108,147,11,69,-11,49.78,126,12.83,13.24,1074,97,4.92,284,12,11,1,4,26,37,1,42,9,35,5,24,61,16,22,62,15,19.97,18.93,0.94,92,-1.04,18.81,17.44
Alex John,Merthyr Town FC,1343,Left Centre Midfielder,Right Centre Midfielder,Wales,25,170,0,0,0.65,0.05,13,0,8,1,,0.01,1,1.24,11,1,0.62,9,0,0.63,2,1,1.9,24,-0.9,7,4,3,57,12,0,19,16,5,5.45,28,35.63,247,133,0.03,80,40.27,64,161,32,37,78,44.31,49.76,21,36,9,37,15,1,194,260.13,53,51,9,43.54,65,34,22,43,6,0,0,701,80,47,14,63,40,63,21,78,-3,48.73,67,5.84,6.22,556,97,4.56,151,12,7,5,0,9,16,0,0,0,0,2,18,69,14,19,70,11,19.1,17.32,0.98,101,-1.78,18.64,17.43
