Name,Team,Minutes,Primary Position,Secondary Position,Nationality,Age,Height,All Goals,NP Goals,xG,xG/Shot,Shots,Goal Conversion%,Shooting%,Shot Touch%,Penalty Conversion%,PSxG,Assists,xG Assisted,Key Passes,OP Assists,OP xG Assisted,OP Key Passes,SP Assists,SP xG Assisted,SP Key Passes,Scoring Contribution,xG & xG Assisted,Shots & Key Passes,O/U Performance,Dribbles,Successful Dribbles,Failed Dribbles,Dribble%,Fouls Won,Penalty Wins,Dispossessed,Turnovers,Interceptions,PAdj Interceptions,Clearances,PAdj Clearances,Defensive Actions,Aggressive Actions,Blocks/Shot,Defensive Regains,Average DA X,Ball Recov. F2,Ball Recoveries,Tackles,Tack&Int,Tack/DP%,PAdj Tackles,PAdj Tack&Int,Fouls,Dribbles Stopped%,Dribbled Past,Aerial Win%,Aerial Wins,Errors,Pressures,PAdj Pressures,Pressure Regains,Counterpressures,Counterpress Regains,Average Pressure X,Pressures F2,Pressures F2%,Counterpressures F2,Counterpressures F2%,Yellow Cards,2nd Yellows,Red Cards,OP Passes,Passing%,Long Balls,L/R Footedness%,Long Ball%,Pr. Long Balls,UPr. Long Balls,Passes Pressured%,Pr. Pass%,Pr. Pass% Dif.,Average Pass X,Deep Progressions,xGBuildup,xGChain,Carries,Carry%,Carry Length,OP F3 Passes,PintoB,OP Passes Into Box,SP PintoB,Passes Inside Box,Touches In Box,PinTin,Throughballs,Successful Box Cross%,Successful Crosses,Crossing%,Deep Completions,Pass Forward%,Pass Sideways%,Pass Backward%,F3 Pass Forward%,F3 Pass Sideways%,F3 Pass Backward%,Pass Length,Pr. Pass Length,Pass Length Ratio,Pr. Pass Length%,Pr. Pass Length Dif.,Succ. Pass Length,Succ.Pr. Pass Length
Aaron Pickles,Southport,931,Right Centre Back,,England,21,188,0,0,0.01,0.04,0.39,0,0,0,,0,0.1,0.01,0.19,0.1,0.01,0.19,0,0,0,0.1,0.03,0.58,0.07,0.29,0.1,0.19,33,0.48,0,0.29,0.48,0.39,0.55,7.54,9.92,9.47,4.83,0.08,4.74,21.77,1.16,9.76,0.68,1.06,78,0.92,1.48,1.26,33,0.19,45,2.8,0.1,7.54,10.01,3.19,1.74,0.39,26.12,0.39,5,0.19,11,0.19,0,0,41.17,80,3.48,6,51,8.51,5.9,10,52,-27,33.32,1.84,0.18,0.19,31.51,99,4.65,2.22,0.19,0.19,0,0.1,1.64,1.84,0,0,0,,0.29,28,69,3,43,48,9,25.21,25.71,0.92,83,0.5,23.29,21.46
Aaron Powell,Peterborough Sports FC,1868,Left Centre Back,Left Back,England,23,177,0,0,0.02,0.05,0.39,0,0,0,,0,0.05,0.03,0.48,0.05,0.03,0.48,0,0,0,0.05,0.05,0.87,0,0.48,0.39,0.1,80,1.64,0,0.58,0.48,1.45,1.46,4.67,4.79,13.15,6.07,0.06,7.37,30.28,2.65,12.72,2.17,3.61,66,2.4,3.85,1.11,30,1.11,60,2.12,0,9.88,10.83,4.82,2.7,1.35,33.8,2.12,21,0.96,36,0.29,0,0,36.57,69,3.18,75,40,5.35,7.28,17,70,2,44.95,4.72,0.26,0.31,26.79,97,4.87,6.5,0.58,0.58,0,0.05,0.48,1.06,0,33,0.24,29,0.1,41,53,6,41,55,4,23.74,19.27,0.88,102,-4.47,20.78,19.58
Aaron Skinner,Hereford FC,2444,Right Back,Left Back,England,24,174,0.07,0.04,0.02,0.05,0.29,13,38,0,100,0.04,0.04,0.05,0.85,0.04,0.05,0.81,0,0.01,0.04,0.07,0.07,1.14,0,0.99,0.7,0.29,70,1.25,0.07,0.77,0.77,1.4,1.43,2.76,2.9,17.86,8.21,0.04,6.96,31.22,5.34,14.44,2.76,4.16,79,2.78,4.21,1.47,43,0.74,54,1.33,0.04,13.63,13.37,4.49,3.09,1.1,34.74,3.06,22,1.84,60,0.22,0,0,37.2,74,3.43,17,54,3.61,5.49,15,70,-4,48.35,4.64,0.37,0.38,28.32,97,4.84,8.18,1.1,0.88,0.22,0.04,0.96,1.84,0,33,0.41,26,0.22,35,55,11,36,52,12,21.11,18.56,0.92,99,-2.55,19.38,18.3
Adam Anson,Alfreton Town,591,Right Centre Back,,England,29,183,0.15,0.15,0.11,0.15,0.76,20,40,1,,0.12,0,0.01,0.15,0,0.01,0.15,0,0,0,0.15,0.12,0.91,0.03,0.15,0,0.15,0,0.3,0,0.15,0.3,0.46,0.19,5.02,2.22,11.12,5.63,0.05,3.96,23.5,1.37,7.92,1.83,2.28,71,0.82,1.01,1.07,56,0.76,52,2.28,0,8.22,4.48,1.98,1.67,0.15,28.85,0.76,9,0.46,27,0,0,0,18.88,53,2.74,12,33,5.94,7.31,15,58,5,36.43,1.67,0.17,0.2,9.75,97,4.02,2.28,0.3,0.3,0,0.15,2.74,3.05,0,50,0.15,33,0,44,51,5,53,33,13,31.97,25.82,0.82,80,-6.15,26.17,20.65
Adam Anson,Marine,2108,Right Centre Back,Right Back,England,29,183,0.09,0.09,0.06,0.16,0.38,22,33,0,,0.06,0.04,0.03,0.17,0.04,0.03,0.17,0,0,0,0.13,0.09,0.55,0.04,0.3,0.21,0.09,71,0.6,0.04,0.21,0.43,1.32,0.92,7.3,4.99,12.72,7.09,0.08,6.06,23.11,2.39,14.3,2.35,3.67,82,1.57,2.5,0.9,59,0.51,78,4.57,0.04,9.48,7.02,3.54,1.54,0.6,27.14,1.28,14,0.6,39,0.3,0,0,21.9,52,1.92,25,32,8.11,5.17,22,50,-3,42.24,1.62,0.27,0.28,9.78,96,4.45,2.43,0.3,0.17,0.13,0.13,1.15,1.32,0.09,29,0.13,33,0.21,48,45,7,35,49,16,25.13,19.39,0.83,93,-5.73,20.92,18.07
Adam Barton,Curzon Ashton FC,1748,Centre Defensive Midfielder,Centre Back,England,35,190,0.1,0.1,0.12,0.16,0.77,13,40,1,,0.09,0.05,0.04,0.26,0.05,0.03,0.21,0,0,0.05,0.15,0.16,1.03,-0.01,0.21,0.15,0.05,75,0.31,0,0.36,0.41,0.46,0.3,2.94,2.26,11.69,6.02,0.05,4.63,33.73,3.96,12.25,1.54,2.01,73,1.25,1.55,0.88,33,0.57,53,1.08,0,9.27,7.48,3.19,2.47,0.82,39.08,2.83,31,1.44,58,0.1,0,0,29.5,80,2.06,13,61,3.4,2.94,15,78,-2,43.08,2.16,0.34,0.44,18.59,97,4.9,3.76,0.41,0.36,0.05,0.05,2.06,2.42,0.05,0,0.05,25,0.1,26,64,9,33,62,5,20.67,20.16,0.97,94,-0.52,19.96,18.9
Adam Blakeman,Chorley,1925,Left Back,Centre Attacking Midfielder,England,34,175,0.14,0.14,0.07,0.04,1.68,8,28,1,,0.1,0.23,0.18,2.2,0.14,0.1,1.08,0.09,0.09,1.12,0.37,0.25,3.88,0.13,0.33,0.33,0,100,0.65,0,0.28,0.19,0.75,0.52,3.41,2.83,10.15,5,0.02,4.3,33.37,4.91,11.36,1.59,2.34,69,0.98,1.5,0.56,39,0.7,53,1.5,0,8,5.47,2.24,1.92,0.7,37.32,2.48,31,1.45,76,0.19,0,0,35.26,53,8.46,84,38,5,20.71,10,51,-2,55.58,8,0.38,0.45,24.27,99,3.28,10.24,6.17,2.01,4.16,0.28,0.75,2.76,0,19,1.4,30,0.23,39,58,3,40,55,5,31.66,25.31,0.87,81,-6.35,27.49,20.46
Adam Crowther,Chelmsford City,626,Left Centre Back,Centre Attacking Midfielder,England,25,194,0.14,0.14,0.1,0.12,0.86,17,50,0,,0.15,0.14,0.08,0.29,0.14,0.08,0.29,0,0,0,0.29,0.18,1.15,0.11,0,0,0,,0.29,0,0.43,0.14,1.58,1.89,4.6,5.33,6.61,3.31,0.08,2.73,25.52,2.87,16.53,0.72,2.3,63,0.63,2.52,0.72,75,0.43,71,3.45,0,5.32,5.39,1.29,1.58,0.29,32.44,1.44,27,1.15,73,0,0,0.14,37.36,74,5.03,18,64,5.03,7.47,12,64,-10,41.6,4.45,0.32,0.42,23.57,98,6.05,4.74,1.58,0.14,1.44,0.29,2.73,2.87,0,27,0.43,43,0.29,34,62,4,42,58,0,24.45,18.79,0.99,114,-5.66,24.12,21.43
Adam Henley,Chorley,1680,Right Back,Left Back,Wales,31,179,0.11,0.11,0.04,0.13,0.32,33,33,1,,0.05,0.05,0.01,0.21,0.05,0.01,0.16,0,0,0.05,0.16,0.06,0.54,0.1,0.32,0.21,0.11,67,0.64,0,0.96,0.64,1.23,0.95,3.86,3.12,14.46,7.28,0.05,5.3,31.87,2.95,8.68,1.82,3.05,59,1.25,2.19,0.96,29,1.29,41,1.34,0,11.73,7.3,3.37,2.89,1.23,35.21,3.05,26,1.82,63,0.16,0,0.05,18.43,63,1.77,17,41,4.29,3.91,12,75,12,50.98,3.05,0.19,0.22,11.84,90,4.75,4.93,0.59,0.32,0.27,0.16,1.07,1.39,0,18,0.11,25,0.16,49,41,11,23,53,24,23.38,21.05,0.89,101,-2.33,20.84,21.36
Adam Lund,Alfreton Town,2760,Right Defensive Midfielder,Left Defensive Midfielder,England,27,180,0.03,0.03,0.05,0.06,0.82,4,20,1,,0.06,0.03,0.04,0.55,0,0.03,0.42,0.03,0.02,0.13,0.07,0.09,1.37,-0.03,0.13,0.07,0.07,50,1.34,0,0.62,0.78,0.52,0.21,4.11,2.65,17.55,8.06,0.04,6.52,36.43,6.91,15.78,2.05,2.58,74,1.2,1.41,1.01,33,0.72,73,4.57,0,14.61,8,4.66,3.78,1.5,41.04,4.92,34,2.15,57,0.23,0,0,27.49,55,2.77,20,31,4.86,8.19,20,55,0,52.58,2.71,0.31,0.34,13.63,94,3.72,5.32,2.12,0.52,1.6,0.2,2.28,2.8,0,42,0.95,23,0.33,35,58,8,33,58,10,24.47,18.26,0.87,89,-6.21,21.19,16.3
Adam Marriott,King's Lynn Town FC,887,Centre Forward,Right Centre Forward,England,35,175,0.2,0.2,0.37,0.13,2.94,7,28,5,,0.3,0.2,0.13,1.52,0.2,0.13,1.52,0,0,0,0.41,0.5,4.46,-0.1,1.42,0.81,0.61,57,1.01,0,2.23,2.03,0.2,0.36,0.81,1.19,17.65,5.78,0,3.75,58.69,3.65,5.48,0.41,0.61,57,0.47,0.83,1.62,50,0.3,34,1.42,0,15.63,17.42,3.25,3.86,1.01,60.64,10.86,69,3.25,84,0.3,0.1,0,17.55,72,0.3,16,30,0.91,0.91,29,68,-5,62.92,2.13,0.42,0.82,17.45,85,5.23,7.41,0.81,0.81,0,0.2,6.39,7.2,0.1,25,0.2,40,0.51,14,70,17,12,77,11,17.34,14.8,0.98,107,-2.54,16.96,15.88
Adam May,Eastbourne Borough,657,Centre Defensive Midfielder,Left Defensive Midfielder,England,28,182,0.27,0.27,0.12,0.04,2.74,10,40,2,,0.19,0,0.02,0.68,0,0.02,0.55,0,0,0.14,0.27,0.14,3.42,0.13,0.27,0.14,0.14,50,0.68,0,0.55,0.55,0.68,0.68,2.33,2.49,15.61,7.81,0.01,6.85,35.49,5.62,12.74,1.37,2.05,53,1.49,2.17,0.27,18,1.23,60,1.23,0,13.97,15.35,4.93,4.52,1.51,39.17,4.11,29,2.19,48,0,0,0,39.99,74,4.38,17,57,4.11,5.89,29,69,-5,47.27,4.66,0.24,0.35,31.5,98,5.21,6.71,0.68,0.55,0.14,0,1.23,1.78,0,20,0.14,33,0,22,65,12,33,67,0,23.83,21.08,0.97,107,-2.75,23.1,22.56
Adam Thomas,Marine,1700,Right Back,Left Back,England,32,191,0.11,0.11,0.04,0.12,0.32,33,83,0,,0.06,0.11,0.1,0.69,0.11,0.1,0.69,0,0,0,0.21,0.14,1.01,0.07,0.32,0.21,0.11,67,0.42,0,1.06,0.79,1.01,0.85,3.23,2.22,15.67,7.25,0.05,5.14,35.52,5.56,14.4,2.12,3.12,69,1.57,2.42,1.27,42,0.95,56,2.65,0.05,12.34,10.03,3.44,3.12,0.85,41.23,4.61,37,2.12,68,0.16,0,0,28.75,56,2.49,24,38,4.34,5.45,18,51,-5,52.47,3.92,0.28,0.33,15.83,95,6.01,6.78,0.53,0.37,0.16,0.16,1.32,1.69,0,50,0.32,18,0.26,42,48,10,38,45,18,22.28,20.29,0.85,85,-1.98,18.97,17.33
Adam Thompson,Enfield Town FC,2466,Centre Back,Right Centre Back,Northern Ireland,33,185,0.04,0.04,0.03,0.11,0.29,13,13,0,,0.03,0.04,0.02,0.26,0.04,0.02,0.26,0,0,0,0.07,0.05,0.55,0.02,0.07,0.07,0,100,1.24,0,0.04,0.15,0.99,0.64,7.66,5.03,10.62,5.33,0.05,5.84,24.96,2.12,16.71,1.35,2.34,77,0.96,1.6,0.77,44,0.4,69,4.09,0,8.58,5.67,3.5,1.75,0.62,31.47,1.39,16,0.55,31,0.29,0,0.04,25.36,62,1.5,17,28,8.28,4.82,21,58,-4,35.67,1.24,0.21,0.24,9.67,99,3.51,1.72,0.04,0.04,0,0.18,1.28,1.31,0,0,0,0,0.22,44,50,6,47,47,6,23.5,19.17,0.84,97,-4.33,19.71,18.59
Adam Walker,Leamington FC,2569,Left Defensive Midfielder,Left Centre Midfielder,England,35,168,0,0,0.05,0.05,0.84,0,8,2,,0.01,0.07,0.02,0.42,0.07,0.02,0.42,0,0,0,0.07,0.07,1.26,0,0.35,0.25,0.11,70,0.53,0.04,0.84,0.7,1.12,0.54,2,1.3,16.15,9.74,0.01,6.8,39.74,7.29,13.94,1.61,2.73,58,0.89,1.43,0.56,29,1.16,44,0.7,0.04,13.98,8.41,4.66,4.03,1.47,41.81,5.08,36,2.24,56,0.21,0,0,26.87,61,1.4,71,35,2.63,3.33,22,60,-1,53.4,3.22,0.21,0.23,18.25,96,5.51,5.92,0.42,0.39,0.04,0.04,0.88,1.26,0.11,0,0,0,0.21,39,53,8,37,54,9,21,19.18,0.9,87,-1.82,18.86,16.72
Adan George,AFC Telford United,1000,Centre Forward,Left Wing,England,23,179,0.63,0.63,0.43,0.16,2.7,23,53,7,,0.6,0.27,0.15,0.63,0.27,0.15,0.63,0,0,0,0.9,0.58,3.33,0.32,1.71,0.99,0.72,58,0.9,0,2.52,3.6,0.81,0.75,0.36,0.29,27,10.89,0,7.02,66.26,3.24,4.86,0.63,1.44,64,0.66,1.41,1.53,0,0.36,16,0.72,0,24.84,22.46,6.48,5.76,1.62,67.19,20.7,83,5.31,92,0,0,0,14.49,61,0.18,16,20,0.63,0.63,29,60,-1,63.71,1.35,0.4,0.77,18.18,83,6.31,4.95,0.45,0.45,0,0.18,5.58,6.03,0.18,20,0.18,18,0.27,17,61,22,13,64,24,15.81,15.58,0.9,93,-0.23,14.3,14.51
Adebayo Azeez,Hemel Hempstead Town,636,Centre Forward,Left Centre Forward,England,32,183,0,0,0.13,0.12,1.13,0,0,3,,0,0,0.01,0.14,0,0.01,0.14,0,0,0,0,0.14,1.27,-0.14,0.71,0.14,0.57,20,0.99,0,2.26,4.38,0.28,0.27,0.28,0.23,17.96,4.81,0,4.38,71.74,1.7,1.84,0.42,0.71,60,0.5,0.76,2.55,0,0.28,29,2.69,0,15.13,14.35,4.24,6.08,1.7,74.33,13.86,92,5.8,95,0,0,0.14,10.04,61,0,29,,0.28,0,44,56,-5,68.75,0.42,0.21,0.33,10.32,60,4.44,3.54,0,0,0,0,3.96,3.96,0,,0,0,0.28,17,58,25,8,52,40,11.56,9.91,0.96,89,-1.65,11.15,8.82
Adrien Thibaut,Southport,717,Centre Forward,,England,21,,0.5,0.5,0.34,0.21,1.63,31,46,6,,0.41,0.13,0.03,0.5,0.13,0.03,0.5,0,0,0,0.63,0.37,2.13,0.26,0.88,0.5,0.38,57,2.13,0,1.76,3.14,0.13,0.23,0.13,0.2,21.71,7.03,0,4.39,69.07,2.13,2.89,1,1.13,89,0.72,0.95,3.26,0,0.13,22,1,0,17.44,18.42,4.27,3.76,0.63,68.83,14.18,81,3.39,90,0.63,0,0,10.92,76,0,24,0,0.13,0.13,30,88,13,68.54,0.13,0.16,0.45,10.67,78,5.3,5.02,0.25,0.25,0,0.5,4.77,5.02,0,0,0.13,50,0.75,6,64,30,0,68,33,12.17,10.79,0.97,96,-1.37,11.75,10.38
Adulai Sambu,Merthyr Town FC,392,Right Wing,Left Wing,England,21,183,0.23,0.23,0.33,0.24,1.38,17,17,3,,0.23,0,0.01,0.46,0,0.01,0.46,0,0,0,0.23,0.35,1.84,-0.12,0.92,0,0.92,0,2.76,0,5.05,3.91,0.69,0.99,1.38,1.54,24.58,8.5,0,5.05,49.13,3.91,8.73,2.53,3.22,79,2.94,3.94,2.07,25,0.69,27,0.92,0,20.45,21.35,3.68,5.05,0.92,52.49,11.95,58,4.37,86,0,0,0,22.98,72,0.46,10,29,1.84,1.15,29,63,-8,58.36,0.23,0.38,0.68,25.04,76,4.73,6.66,0.23,0.23,0,0.23,4.82,5.05,0,0,0,0,0.69,20,60,21,14,59,28,16.27,13.67,0.87,92,-2.61,14.17,12.52
Aidan Rutledge,Darlington,1646,Left Centre Forward,Right Centre Forward,England,25,,0.38,0.33,0.3,0.1,2.9,11,34,6,100,0.36,0.16,0.1,0.93,0.16,0.09,0.87,0,0,0.05,0.49,0.4,3.83,0.1,1.8,1.2,0.6,67,1.09,0.05,1.31,3.12,0.16,0.16,1.42,1.5,15.86,6.4,0.02,4.43,55.03,3.61,5.58,0.82,0.98,68,0.83,1,1.26,30,0.38,34,3.99,0,13.83,14.1,3.83,3.83,1.48,60.27,9.29,67,3.34,87,0.11,0,0,20.12,61,0.71,15,48,1.69,1.2,39,54,-7,62.64,1.37,0.46,0.62,16.79,87,4.28,5.85,0.82,0.38,0.44,0.44,7.33,7.71,0,27,0.27,24,0.55,18,66,16,16,57,27,15.89,14.07,0.88,94,-1.81,14.03,13.29
